date,county,mode,injury,depth,species,longitude,latitude,year,yearly_incidents
1950-10-08T00:00:00Z,San Diego,Swimming,major,surface,White,-117.14666666666666,32.58833333333333,1950,1
1952-05-27T00:00:00Z,San Diego,Swimming,minor,surface,White,-117.24666666666666,32.58833333333333,1952,2
1952-12-07T00:00:00Z,Monterey,Swimming,fatal,surface,White,-122.05,36.626666666666665,1952,2
1955-02-06T00:00:00Z,Monterey,Freediving,minor,surface,White,-122.15,36.626666666666665,1955,1
1956-08-14T00:00:00Z,San Luis Obispo,Swimming,major,surface,White,-120.64666666666666,35.138333333333335,1956,1
1957-04-28T00:00:00Z,San Luis Obispo,Swimming,fatal,surface,White,-120.875,35.403333333333336,1957,1
1958-10-12T00:00:00Z,San Diego,Swimming,major,surface,White,-117.21666666666668,32.685,1958,1
1959-05-07T00:00:00Z,San Francisco,Swimming,fatal,surface,White,-122.4836,37.7936,1959,5
1959-06-14T00:00:00Z,San Diego,Freediving,fatal,surface,White,-117.28,32.855,1959,5
1959-07-28T00:00:00Z,San Diego,Freediving,minor,surface,Hammerhead,-117.38,32.855,1959,5
1959-10-04T00:00:00Z,Sonoma,Freediving,none,surface,White,-123.04666666666668,38.295,1959,5
1959-11-10T00:00:00Z,Los Angeles,Freediving,minor,surface,Blue,-118.78333333333332,34.01833333333333,1959,5
1960-04-24T00:00:00Z,Marin,Freediving,minor,surface,White,-122.965,38.181666666666665,1960,2
1960-05-19T00:00:00Z,Santa Cruz,Swimming,major,surface,White,-122.095,36.96,1960,2
1961-05-21T00:00:00Z,Marin,Freediving,none,25,White,-123.065,38.181666666666665,1961,2
1961-08-20T00:00:00Z,Sonoma,Swimming,major,surface,White,-123.07666666666668,38.358333333333334,1961,2
1962-01-14T00:00:00Z,Island - Farallones,Scuba Diving,major,surface,White,-123.03166666666668,37.72,1962,2
1962-11-11T00:00:00Z,Island - Farallones,Scuba Diving,major,surface,White,-123.13166666666666,37.72,1962,2
1964-01-11T00:00:00Z,Island - Farallones,Scuba Diving,major,surface,White,-123.23166666666664,37.72,1964,1
1966-01-22T00:00:00Z,Monterey,Freediving,major,surface,White,-122.0423722,36.583333333333336,1966,1
1968-07-27T00:00:00Z,Sonoma,Freediving,major,20,White,-123.14666666666666,38.295,1968,1
1969-07-20T00:00:00Z,San Mateo,Freediving,minor,surface,Killer Whale,-122.40833333333332,37.19166666666667,1969,2
1969-09-06T00:00:00Z,Marin,Freediving,major,surface,White,-123.165,38.181666666666665,1969,2
1971-07-19T00:00:00Z,Santa Barbara,Hookah Diving,major,20,White,-120.64166666666668,34.75833333333333,1971,2
1971-10-02T00:00:00Z,Sonoma,Scuba Diving,major,15,White,-123.43,38.666666666666664,1971,2
1972-05-28T00:00:00Z,Marin,Freediving,major,surface,White,-123.265,38.181666666666665,1972,2
1972-09-09T00:00:00Z,Monterey,Surfing / Boarding,major,surface,Killer Whale,-121.89666666666666,36.31333333333333,1972,2
1974-05-26T00:00:00Z,Marin,Freediving,major,surface,White,-123.36499999999998,38.181666666666665,1974,7
1974-07-26T00:00:00Z,Mendocino,Freediving,minor,25,White,-123.77666666666669,39.22833333333333,1974,7
1974-08-05T00:00:00Z,San Mateo,Surfing / Boarding,minor,surface,White,-122.40833333333332,37.32333333333333,1974,7
1974-09-02T00:00:00Z,San Mateo,Scuba Diving,minor,surface,White,-122.36666666666666,37.15,1974,7
1974-09-02T00:00:00Z,San Mateo,Scuba Diving,minor,surface,White,-122.46666666666664,37.15,1974,7
1974-09-14T00:00:00Z,Island - Farallones,Hookah Diving,major,28,White,-123.33166666666664,37.72,1974,7
1974-09-28T00:00:00Z,Monterey,Surfing / Boarding,major,surface,White,-121.99666666666666,36.31333333333333,1974,7
1975-07-19T00:00:00Z,Santa Barbara,Hookah Diving,none,30,White,-120.475,34.45,1975,4
1975-07-23T00:00:00Z,Santa Barbara,Scuba Diving,major,surface,White,-120.575,34.45,1975,4
1975-08-09T00:00:00Z,Mendocino,Freediving,major,19,White,-123.85666666666668,39.82,1975,4
1975-12-06T00:00:00Z,Island - Farallones,Scuba Diving,major,20,White,-123.43166666666664,37.72,1975,4
1976-10-18T00:00:00Z,Humboldt,Surfing / Boarding,minor,surface,White,-124.11166666666666,41.025,1976,2
1976-10-18T00:00:00Z,Island - San Miguel,Hookah Diving,major,18,White,-120.43666666666668,34.04,1976,2
1977-08-14T00:00:00Z,Marin,Freediving,major,surface,White,-123.46499999999996,38.181666666666665,1977,1
1978-08-05T00:00:00Z,Santa Cruz,Swimming,minor,surface,NA,-121.81,36.86,1978,1
1979-03-11T00:00:00Z,San Mateo,Scuba Diving,none,20,White,-122.34333333333332,37.108333333333334,1979,1
1980-10-17T00:00:00Z,Humboldt,Surfing / Boarding,none,surface,White,-124.21166666666666,41.025,1980,1
1981-12-19T00:00:00Z,Monterey,Surfing / Boarding,fatal,surface,White,-122.25,36.626666666666665,1981,1
1982-02-07T00:00:00Z,Sonoma,Scuba Diving,major,40,White,-123.305,38.54333333333334,1982,4
1982-07-24T00:00:00Z,San Luis Obispo,Paddleboarding,none,surface,White,-120.90666666666668,35.236666666666665,1982,4
1982-09-19T00:00:00Z,Mendocino,Freediving,major,12,White,-123.93333333333334,39.93333333333333,1982,4
1982-09-25T00:00:00Z,Monterey,Scuba Diving,minor,40,White,-121.92666666666666,36.526666666666664,1982,4
1984-09-15T00:00:00Z,San Mateo,Freediving,fatal,surface,White,-122.50833333333333,37.19166666666667,1984,3
1984-09-17T00:00:00Z,San Diego,Swimming,minor,surface,Blue,-117.25666666666666,32.785,1984,3
1984-09-30T00:00:00Z,Marin,Freediving,major,10,White,-123.56499999999996,38.181666666666665,1984,3
1985-02-18T00:00:00Z,Island - San Miguel,Scuba Diving,minor,surface,White,-120.53666666666666,34.04,1985,4
1985-05-26T00:00:00Z,Orange,Surfing / Boarding,minor,surface,NA,-118.1,33.75,1985,4
1985-09-28T00:00:00Z,Marin,Freediving,none,14,White,-123.66499999999996,38.181666666666665,1985,4
1985-10-22T00:00:00Z,Santa Barbara,Hookah Diving,minor,15,NA,-120.675,34.45,1985,4
1986-12-06T00:00:00Z,Monterey,Freediving,major,38,White,-122.126666666667,36.526666666666664,1986,1
1987-08-15T00:00:00Z,San Mateo,Surfing / Boarding,minor,surface,White,-122.499,37.492,1987,2
1987-10-26T00:00:00Z,Santa Cruz,Surfing / Boarding,minor,surface,White,-122.25333333333332,37.05,1987,2
1988-04-24T00:00:00Z,San Luis Obispo,Surfing / Boarding,none,surface,White,-120.975,35.403333333333336,1988,2
1988-08-11T00:00:00Z,Del Norte,Surfing / Boarding,minor,surface,White,-124.08833333333334,41.56166666666667,1988,2
1989-01-26T00:00:00Z,Los Angeles,Kayaking / Canoeing,fatal,surface,White,-118.88333333333333,34.01833333333333,1989,3
